Asset ID,Lab,Asset Category,Asset Status,Purchase Year,Purchase Cost,Usage Frequency,Breakdown Frequency,Total Maintenance Cost,Useful Life (Years),Scrap Value
LAB14-PC1,LAB 14,Keyboard (Brand-HP),Y,2023,29489,High,3,6045,5,2948
LAB10-PC1,LAB 10,Keyboard (Brand-HP),N,2018,31415,High,5,14140,5,3141
LAB12-PC1,LAB 12,Keyboard (Brand-HP),N,2018,30212,High,4,10524,5,3021
LAB15-PC1,LAB 15,Monitor (Brand-HP),Y,2023,32724,High,2,7782,7,3272
LAB15-PC2,LAB 15,Monitor (Brand-HP),N,2018,34230,Medium,4,10388,7,3423
LAB12-PC2,LAB 12,Monitor (Brand-HP),N,2018,30048,High,4,7520,7,3004
LAB12-PC3,LAB 12,Keyboard (Brand-HP),N,2018,31154,High,4,14740,5,3115
LAB12-PC4,LAB 12,Keyboard (Brand-HP),Y,2023,34557,Medium,1,3645,5,3455
LAB14-PC2,LAB 14,Monitor (Brand-HP),N,2018,32039,Low,4,13372,7,3203
LAB16-PC1,LAB 16,Monitor (Brand-HP),N,2022,27374,High,6,12396,7,2737
LAB16-PC2,LAB 16,Keyboard (Brand-HP),N,2020,33049,Medium,3,5955,5,3304
LAB14-PC3,LAB 14,Keyboard (Brand-HP),N,2019,33828,High,4,6608,5,3382
LAB15-PC3,LAB 15,Keyboard (Brand-HP),N,2018,27344,High,2,2088,5,2734
LAB16-PC3,LAB 16,Keyboard (Brand-HP),Y,2021,30168,Low,0,0,5,3016
LAB14-PC4,LAB 14,Keyboard (Brand-HP),Y,2021,31002,Low,0,0,5,3100
LAB10-PC2,LAB 10,Monitor (Brand-HP),N,2018,32561,Medium,7,21476,7,3256
LAB16-PC4,LAB 16,Keyboard (Brand-HP),N,2020,27078,Medium,4,15872,5,2707
LAB13-PC1,LAB 13,Monitor (Brand-HP),N,2023,27212,Medium,6,16446,7,2721
LAB16-PC5,LAB 16,Monitor (Brand-HP),Y,2023,29855,Medium,5,5280,7,2985
LAB13-PC2,LAB 13,Monitor (Brand-HP),Y,2019,27076,Medium,1,1105,7,2707
LAB15-PC4,LAB 15,Keyboard (Brand-HP),Y,2022,27559,High,2,2994,5,2755
LAB14-PC5,LAB 14,Monitor (Brand-HP),N,2022,32731,High,6,12240,7,3273
LAB14-PC6,LAB 14,Monitor (Brand-HP),Y,2021,27007,Medium,4,13264,7,2700
LAB16-PC6,LAB 16,Keyboard (Brand-HP),Y,2023,29265,High,4,7260,5,2926
LAB12-PC5,LAB 12,Keyboard (Brand-HP),N,2019,27332,High,4,7624,5,2733
LAB16-PC7,LAB 16,Monitor (Brand-HP),Y,2023,33881,High,1,2286,7,3388
LAB14-PC7,LAB 14,Keyboard (Brand-HP),N,2019,31120,Medium,3,8061,5,3112
LAB10-PC3,LAB 10,Keyboard (Brand-HP),Y,2023,28218,High,5,12270,5,2821
LAB10-PC4,LAB 10,Monitor (Brand-HP),Y,2022,29015,Medium,1,3044,7,2901
LAB10-PC5,LAB 10,Keyboard (Brand-HP),N,2020,33337,Medium,5,13445,5,3333
LAB16-PC8,LAB 16,Monitor (Brand-HP),Y,2023,29630,Medium,4,8668,7,2963
LAB13-PC3,LAB 13,Keyboard (Brand-HP),N,2020,33226,Medium,4,6948,5,3322
LAB15-PC5,LAB 15,Keyboard (Brand-HP),Y,2022,33589,Medium,2,7766,5,3358
LAB10-PC6,LAB 10,Monitor (Brand-HP),N,2018,29062,Medium,7,9121,7,2906
LAB12-PC6,LAB 12,Keyboard (Brand-HP),Y,2022,33601,Medium,2,7722,5,3360
LAB16-PC9,LAB 16,Keyboard (Brand-HP),Y,2022,32081,High,2,2732,5,3208
LAB16-PC10,LAB 16,Keyboard (Brand-HP),Y,2021,30020,Low,1,2664,5,3002
LAB15-PC6,LAB 15,Keyboard (Brand-HP),Y,2022,33724,Medium,2,2448,5,3372
LAB15-PC7,LAB 15,Keyboard (Brand-HP),N,2022,28090,Low,6,15642,5,2809
LAB10-PC7,LAB 10,Keyboard (Brand-HP),Y,2022,29233,Low,5,18690,5,2923
LAB16-PC11,LAB 16,Monitor (Brand-HP),N,2018,31023,High,5,16290,7,3102
LAB14-PC8,LAB 14,Monitor (Brand-HP),Y,2023,32789,Medium,5,5085,7,3278
LAB15-PC8,LAB 15,Monitor (Brand-HP),Y,2022,30540,High,4,9916,7,3054
LAB16-PC12,LAB 16,Keyboard (Brand-HP),N,2022,28624,Low,7,15267,5,2862
LAB16-PC13,LAB 16,Keyboard (Brand-HP),Y,2022,30740,Medium,1,1702,5,3074
LAB15-PC9,LAB 15,Keyboard (Brand-HP),Y,2023,27881,Medium,3,9705,5,2788
LAB16-PC14,LAB 16,Keyboard (Brand-HP),N,2019,31604,High,3,3012,5,3160
LAB14-PC9,LAB 14,Monitor (Brand-HP),N,2018,31335,Low,4,14392,7,3133
LAB14-PC10,LAB 14,Monitor (Brand-HP),Y,2022,32690,Medium,3,11943,7,3269
LAB10-PC8,LAB 10,Monitor (Brand-HP),Y,2023,28863,High,2,5866,7,2886
LAB13-PC4,LAB 13,Monitor (Brand-HP),N,2022,31909,High,6,21468,7,3190
LAB16-PC15,LAB 16,Keyboard (Brand-HP),Y,2022,33473,High,4,5076,5,3347
LAB10-PC9,LAB 10,Monitor (Brand-HP),Y,2022,29843,Medium,3,4572,7,2984
LAB10-PC10,LAB 10,Monitor (Brand-HP),Y,2021,27981,Medium,2,3842,7,2798
LAB12-PC7,LAB 12,Keyboard (Brand-HP),Y,2022,30860,High,4,15152,5,3086
LAB14-PC11,LAB 14,Keyboard (Brand-HP),N,2019,34261,High,5,13400,5,3426
LAB13-PC5,LAB 13,Monitor (Brand-HP),Y,2019,29145,Medium,3,8595,7,2914
LAB15-PC10,LAB 15,Keyboard (Brand-HP),N,2022,29293,Low,7,20146,5,2929
LAB13-PC6,LAB 13,Keyboard (Brand-HP),N,2020,28471,Medium,5,12595,5,2847
LAB15-PC11,LAB 15,Keyboard (Brand-HP),N,2022,34387,Low,6,18882,5,3438
LAB12-PC8,LAB 12,Monitor (Brand-HP),N,2018,32390,Low,3,4218,7,3239
LAB12-PC9,LAB 12,Monitor (Brand-HP),Y,2022,30487,High,5,16145,7,3048
LAB12-PC10,LAB 12,Monitor (Brand-HP),Y,2021,29816,Medium,4,5628,7,2981
LAB10-PC11,LAB 10,Monitor (Brand-HP),Y,2023,29364,Medium,5,17025,7,2936
LAB12-PC11,LAB 12,Monitor (Brand-HP),N,2018,34421,Low,4,9520,7,3442
LAB16-PC16,LAB 16,Monitor (Brand-HP),N,2021,27256,Medium,6,13074,7,2725
LAB15-PC12,LAB 15,Keyboard (Brand-HP),Y,2023,33715,High,3,4899,5,3371
LAB14-PC12,LAB 14,Keyboard (Brand-HP),N,2019,31637,High,2,3798,5,3163
LAB10-PC12,LAB 10,Monitor (Brand-HP),N,2018,32058,Low,2,5772,7,3205
LAB12-PC12,LAB 12,Keyboard (Brand-HP),N,2022,32268,Low,7,18851,5,3226
LAB10-PC13,LAB 10,Keyboard (Brand-HP),N,2020,29457,Medium,3,10656,5,2945
LAB14-PC13,LAB 14,Monitor (Brand-HP),Y,2023,28579,High,3,11898,7,2857
LAB13-PC7,LAB 13,Keyboard (Brand-HP),Y,2023,29422,Medium,2,3972,5,2942
LAB12-PC13,LAB 12,Monitor (Brand-HP),Y,2019,33698,Medium,3,5031,7,3369
LAB10-PC14,LAB 10,Keyboard (Brand-HP),Y,2022,31468,High,4,4272,5,3146
LAB16-PC17,LAB 16,Monitor (Brand-HP),Y,2023,34154,High,1,3406,7,3415
LAB14-PC14,LAB 14,Keyboard (Brand-HP),N,2019,28170,Medium,3,6816,5,2817
LAB12-PC14,LAB 12,Monitor (Brand-HP),Y,2023,32206,Medium,4,5364,7,3220
LAB16-PC18,LAB 16,Monitor (Brand-HP),Y,2022,28752,Medium,2,4000,7,2875
LAB12-PC15,LAB 12,Keyboard (Brand-HP),N,2022,33300,Low,6,13464,5,3330
LAB10-PC15,LAB 10,Keyboard (Brand-HP),Y,2023,29786,High,5,15260,5,2978
LAB16-PC19,LAB 16,Keyboard (Brand-HP),N,2018,34824,High,4,12300,5,3482
LAB12-PC16,LAB 12,Keyboard (Brand-HP),Y,2022,34188,Medium,3,9969,5,3418
LAB13-PC8,LAB 13,Keyboard (Brand-HP),N,2018,27979,High,3,4461,5,2797
LAB16-PC20,LAB 16,Monitor (Brand-HP),Y,2020,29226,Medium,0,0,7,2922
LAB13-PC9,LAB 13,Monitor (Brand-HP),Y,2022,29650,Medium,2,2182,7,2965
LAB12-PC17,LAB 12,Keyboard (Brand-HP),N,2023,34787,High,7,27734,5,3478
LAB16-PC21,LAB 16,Monitor (Brand-HP),N,2018,32919,Medium,6,7926,7,3291
LAB15-PC13,LAB 15,Keyboard (Brand-HP),N,2020,28676,Medium,2,5688,5,2867
LAB13-PC10,LAB 13,Keyboard (Brand-HP),N,2018,31915,High,4,12944,5,3191
LAB14-PC15,LAB 14,Keyboard (Brand-HP),N,2018,32306,High,5,13170,5,3230
LAB10-PC16,LAB 10,Monitor (Brand-HP),Y,2023,34815,Medium,5,13895,7,3481
LAB13-PC11,LAB 13,Monitor (Brand-HP),Y,2023,32562,Medium,4,5372,7,3256
LAB15-PC14,LAB 15,Monitor (Brand-HP),Y,2021,34950,Medium,0,0,7,3495
LAB14-PC16,LAB 14,Keyboard (Brand-HP),N,2023,28783,High,6,16428,5,2878
LAB16-PC22,LAB 16,Keyboard (Brand-HP),N,2022,31728,Low,6,23358,5,3172
LAB14-PC17,LAB 14,Monitor (Brand-HP),Y,2023,31757,High,1,1235,7,3175
LAB10-PC17,LAB 10,Monitor (Brand-HP),Y,2020,34824,Medium,0,0,7,3482
LAB13-PC12,LAB 13,Monitor (Brand-HP),Y,2023,27632,High,3,7347,7,2763
LAB15-PC15,LAB 15,Monitor (Brand-HP),N,2022,34716,High,6,20916,7,3471
LAB15-PC16,LAB 15,Monitor (Brand-HP),N,2018,29384,High,4,9528,7,2938
LAB15-PC17,LAB 15,Keyboard (Brand-HP),Y,2022,31867,High,3,4674,5,3186
LAB13-PC13,LAB 13,Monitor (Brand-HP),Y,2022,32109,Medium,3,11877,7,3210
LAB10-PC18,LAB 10,Monitor (Brand-HP),N,2018,32911,Low,4,6632,7,3291
LAB15-PC18,LAB 15,Keyboard (Brand-HP),N,2019,27446,Medium,2,5266,5,2744
LAB14-PC18,LAB 14,Monitor (Brand-HP),Y,2019,28321,Medium,2,2746,7,2832
LAB14-PC19,LAB 14,Keyboard (Brand-HP),N,2023,32283,High,6,8382,5,3228
LAB12-PC18,LAB 12,Monitor (Brand-HP),N,2018,33549,Low,3,7620,7,3354
LAB13-PC14,LAB 13,Monitor (Brand-HP),Y,2021,33854,Medium,1,3347,7,3385
LAB15-PC19,LAB 15,Monitor (Brand-HP),Y,2020,28918,Medium,1,3754,7,2891
LAB12-PC19,LAB 12,Monitor (Brand-HP),Y,2021,33044,High,0,0,7,3304
LAB10-PC19,LAB 10,Keyboard (Brand-HP),Y,2023,34723,High,5,15755,5,3472
LAB12-PC20,LAB 12,Monitor (Brand-HP),Y,2019,31191,Medium,3,11598,7,3119
LAB12-PC21,LAB 12,Keyboard (Brand-HP),N,2022,28821,Low,6,7584,5,2882
LAB12-PC22,LAB 12,Keyboard (Brand-HP),N,2020,30274,Medium,3,9774,5,3027
LAB10-PC20,LAB 10,Keyboard (Brand-HP),Y,2021,32503,Low,0,0,5,3250
LAB10-PC21,LAB 10,Keyboard (Brand-HP),N,2022,33201,Low,6,13038,5,3320
LAB10-PC22,LAB 10,Monitor (Brand-HP),N,2023,33269,Medium,6,17676,7,3326
LAB10-PC23,LAB 10,Keyboard (Brand-HP),Y,2023,28665,High,3,10965,5,2866
LAB15-PC20,LAB 15,Keyboard (Brand-HP),N,2020,33474,Medium,6,19962,5,3347
LAB10-PC24,LAB 10,Keyboard (Brand-HP),N,2020,31446,Medium,3,7866,5,3144
LAB10-PC25,LAB 10,Keyboard (Brand-HP),N,2019,31597,Medium,3,5187,5,3159
LAB13-PC15,LAB 13,Monitor (Brand-HP),Y,2023,28895,High,1,2308,7,2889
LAB14-PC20,LAB 14,Monitor (Brand-HP),Y,2020,34577,Medium,0,0,7,3457
LAB15-PC21,LAB 15,Monitor (Brand-HP),N,2018,32485,Medium,6,12534,7,3248
LAB13-PC16,LAB 13,Keyboard (Brand-HP),N,2020,31917,Medium,2,5210,5,3191
LAB13-PC17,LAB 13,Keyboard (Brand-HP),N,2018,31247,High,2,5170,5,3124
LAB10-PC26,LAB 10,Keyboard (Brand-HP),Y,2022,27383,Medium,3,9309,5,2738
LAB15-PC22,LAB 15,Monitor (Brand-HP),N,2018,27026,Low,3,10938,7,2702
LAB10-PC27,LAB 10,Monitor (Brand-HP),Y,2019,34896,Medium,1,1929,7,3489
LAB10-PC28,LAB 10,Keyboard (Brand-HP),N,2020,31703,Medium,3,4104,5,3170
LAB13-PC18,LAB 13,Keyboard (Brand-HP),Y,2022,30733,Medium,4,10884,5,3073
LAB10-PC29,LAB 10,Keyboard (Brand-HP),Y,2022,28313,High,3,6126,5,2831
LAB13-PC19,LAB 13,Keyboard (Brand-HP),N,2020,28920,Medium,6,15918,5,2892
LAB10-PC30,LAB 10,Keyboard (Brand-HP),Y,2023,30745,High,2,2704,5,3074
LAB14-PC21,LAB 14,Monitor (Brand-HP),N,2018,32139,Medium,7,17199,7,3213
LAB12-PC23,LAB 12,Monitor (Brand-HP),Y,2023,28778,High,0,0,7,2877
